chr	rs	ps	n_miss	allele1	allele0	af	beta	se	l_remle	p_wald	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000017	-9	0	X	Y	0.284	-5.011437e+00	3.120795e+00	8.564068e-01	1.096562e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs31190522	6747440	0	X	Y	0.284	-5.011437e+00	3.120795e+00	8.564068e-01	1.096562e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs6298633	6830161	0	X	Y	0.284	-5.011437e+00	3.120795e+00	8.564068e-01	1.096562e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs31362910	9843988	0	X	Y	0.284	-5.011437e+00	3.120795e+00	8.564068e-01	1.096562e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000184	-9	1	X	Y	0.285	-4.862504e+00	3.137516e+00	8.690990e-01	1.225366e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000018	-9	1	X	Y	0.285	-4.862504e+00	3.137516e+00	8.690990e-01	1.225366e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000255	-9	1	X	Y	0.285	-4.862504e+00	3.137516e+00	8.690990e-01	1.225366e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000019	-9	1	X	Y	0.282	-5.356675e+00	3.121491e+00	8.487700e-01	8.746836e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000261	-9	1	X	Y	0.282	-5.356675e+00	3.121491e+00	8.487700e-01	8.746836e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs31878990	10098253	0	X	Y	0.284	-4.861736e+00	3.125710e+00	8.729703e-01	1.211961e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000262	-9	0	X	Y	0.283	-4.871831e+00	3.110635e+00	8.778786e-01	1.186507e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000263	-9	0	X	Y	0.283	-4.871831e+00	3.110635e+00	8.778786e-01	1.186507e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000020	-9	0	X	Y	0.281	-5.356473e+00	3.111671e+00	8.533625e-01	8.649178e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs32186775	10162992	0	X	Y	0.281	-5.356473e+00	3.111671e+00	8.533625e-01	8.649178e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000265	-9	1	X	Y	0.280	-5.425807e+00	3.119582e+00	8.571838e-01	8.329604e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000021	-9	1	X	Y	0.282	-5.533470e+00	3.136926e+00	8.951235e-01	7.903493e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000271	-9	1	X	Y	0.282	-5.533470e+00	3.136926e+00	8.951235e-01	7.903493e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000022	-9	1	X	Y	0.279	-5.542940e+00	3.172972e+00	8.902804e-01	8.195692e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs31868650	10809088	0	X	Y	0.278	-5.548547e+00	3.172946e+00	8.908440e-01	8.164767e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000023	-9	2	X	Y	0.277	-5.816588e+00	3.190724e+00	8.799387e-01	6.957879e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs6360236	11083825	0	X	Y	0.274	-5.980406e+00	3.165487e+00	8.630457e-01	6.008910e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs32740138	11416077	0	X	Y	0.275	-5.897642e+00	3.158266e+00	8.554907e-01	6.309533e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs249962268_D1Mit1	11515522	0	X	Y	0.275	-5.897642e+00	3.158266e+00	8.554907e-01	6.309533e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000280	-9	0	X	Y	0.275	-5.897642e+00	3.158266e+00	8.554907e-01	6.309533e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000024	-9	0	X	Y	0.270	-5.466553e+00	3.176024e+00	8.638881e-01	8.653174e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs30991578	11793253	0	X	Y	0.271	-5.424295e+00	3.175805e+00	8.666260e-01	8.895570e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs32347261	12740981	0	X	Y	0.271	-5.424295e+00	3.175805e+00	8.666260e-01	8.895570e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000292	-9	0	X	Y	0.271	-5.424295e+00	3.175805e+00	8.666260e-01	8.895570e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000025	-9	0	X	Y	0.259	-4.465921e+00	3.215617e+00	9.013580e-01	1.662016e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000306	-9	0	X	Y	0.259	-4.465921e+00	3.215617e+00	9.013580e-01	1.662016e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000026	-9	0	X	Y	0.262	-4.941469e+00	3.211810e+00	8.961501e-01	1.252642e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs36585555	12938444	0	X	Y	0.262	-4.941469e+00	3.211810e+00	8.961501e-01	1.252642e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs30477285	12994801	0	X	Y	0.263	-4.862289e+00	3.202817e+00	8.920386e-01	1.303260e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000308	-9	0	X	Y	0.263	-4.862289e+00	3.202817e+00	8.920386e-01	1.303260e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000027	-9	0	X	Y	0.266	-4.410368e+00	3.221639e+00	9.247186e-01	1.723118e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000309	-9	0	X	Y	0.264	-4.769187e+00	3.221988e+00	9.133776e-01	1.401592e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000028	-9	0	X	Y	0.264	-4.769187e+00	3.221988e+00	9.133776e-01	1.401592e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000317	-9	0	X	Y	0.264	-4.769187e+00	3.221988e+00	9.133776e-01	1.401592e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000318	-9	0	X	Y	0.267	-4.858539e+00	3.240396e+00	9.355635e-01	1.351209e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000029	-9	0	X	Y	0.267	-4.858539e+00	3.240396e+00	9.355635e-01	1.351209e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs32223513	13055719	0	X	Y	0.267	-4.858539e+00	3.240396e+00	9.355635e-01	1.351209e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs45688852	13073341	0	X	Y	0.267	-4.858539e+00	3.240396e+00	9.355635e-01	1.351209e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000030	-9	0	X	Y	0.267	-4.858539e+00	3.240396e+00	9.355635e-01	1.351209e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000327	-9	0	X	Y	0.267	-4.858539e+00	3.240396e+00	9.355635e-01	1.351209e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000328	-9	0	X	Y	0.266	-4.943262e+00	3.241741e+00	9.391500e-01	1.286339e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000031	-9	0	X	Y	0.266	-4.943262e+00	3.241741e+00	9.391500e-01	1.286339e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs48988706	13842623	0	X	Y	0.266	-4.943262e+00	3.241741e+00	9.391500e-01	1.286339e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000329	-9	1	X	Y	0.266	-4.947817e+00	3.242743e+00	9.401799e-01	1.284014e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000032	-9	1	X	Y	0.264	-4.885422e+00	3.228203e+00	9.261769e-01	1.315328e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000330	-9	1	X	Y	0.264	-4.885422e+00	3.228203e+00	9.261769e-01	1.315328e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000033	-9	1	X	Y	0.262	-3.426120e+00	3.223004e+00	9.177253e-01	2.888637e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000034	-9	1	X	Y	0.262	-3.426120e+00	3.223004e+00	9.177253e-01	2.888637e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000339	-9	1	X	Y	0.251	-2.815853e+00	3.179192e+00	8.971590e-01	3.766773e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000340	-9	1	X	Y	0.251	-2.815853e+00	3.179192e+00	8.971590e-01	3.766773e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000035	-9	1	X	Y	0.253	-3.281095e+00	3.172908e+00	8.846141e-01	3.021537e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000343	-9	1	X	Y	0.262	-3.426120e+00	3.223004e+00	9.177253e-01	2.888637e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000036	-9	1	X	Y	0.262	-3.426120e+00	3.223004e+00	9.177253e-01	2.888637e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000344	-9	1	X	Y	0.262	-3.426120e+00	3.223004e+00	9.177253e-01	2.888637e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs31710291	13855369	0	X	Y	0.263	-3.453122e+00	3.223881e+00	9.269532e-01	2.852200e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs31794283	13860415	0	X	Y	0.263	-3.453122e+00	3.223881e+00	9.269532e-01	2.852200e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000345	-9	0	X	Y	0.263	-3.453122e+00	3.223881e+00	9.269532e-01	2.852200e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000037	-9	0	X	Y	0.265	-3.944241e+00	3.218083e+00	9.280576e-01	2.215576e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs6296049	13890559	0	X	Y	0.265	-3.944241e+00	3.218083e+00	9.280576e-01	2.215576e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs32381514	14567972	0	X	Y	0.265	-3.944241e+00	3.218083e+00	9.280576e-01	2.215576e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000346	-9	0	X	Y	0.265	-3.944241e+00	3.218083e+00	9.280576e-01	2.215576e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000038	-9	0	X	Y	0.262	-3.916793e+00	3.210007e+00	9.317079e-01	2.236189e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs31577697	14576853	0	X	Y	0.262	-3.916793e+00	3.210007e+00	9.317079e-01	2.236189e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs30996958	14748117	0	X	Y	0.262	-3.916793e+00	3.210007e+00	9.317079e-01	2.236189e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000364	-9	0	X	Y	0.262	-3.916793e+00	3.210007e+00	9.317079e-01	2.236189e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000039	-9	0	X	Y	0.264	-3.806639e+00	3.200284e+00	9.093195e-01	2.354556e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs31574495	14753392	0	X	Y	0.264	-3.806639e+00	3.200284e+00	9.093195e-01	2.354556e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs6291839	14797138	0	X	Y	0.266	-4.124213e+00	3.193615e+00	9.086768e-01	1.978361e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs32105394	14909034	0	X	Y	0.266	-4.124213e+00	3.193615e+00	9.086768e-01	1.978361e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000366	-9	0	X	Y	0.266	-4.124213e+00	3.193615e+00	9.086768e-01	1.978361e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000368	-9	0	X	Y	0.268	-3.815232e+00	3.191386e+00	9.188653e-01	2.331053e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs3088964	15206803	0	X	Y	0.268	-3.815232e+00	3.191386e+00	9.188653e-01	2.331053e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000370	-9	0	X	Y	0.268	-3.815232e+00	3.191386e+00	9.188653e-01	2.331053e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000040	-9	0	X	Y	0.271	-4.533882e+00	3.195011e+00	9.104421e-01	1.572093e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs3678179	15508184	0	X	Y	0.271	-4.533882e+00	3.195011e+00	9.104421e-01	1.572093e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs32109300	15817404	0	X	Y	0.271	-4.533882e+00	3.195011e+00	9.104421e-01	1.572093e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000041	-9	0	X	Y	0.271	-4.533882e+00	3.195011e+00	9.104421e-01	1.572093e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000387	-9	0	X	Y	0.271	-4.533882e+00	3.195011e+00	9.104421e-01	1.572093e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000042	-9	0	X	Y	0.265	-1.155333e+00	3.186904e+00	9.548287e-01	7.172854e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000043	-9	0	X	Y	0.263	-6.613716e-01	3.194527e+00	9.673843e-01	8.361636e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs32127151	15981339	0	X	Y	0.263	-6.613716e-01	3.194527e+00	9.673843e-01	8.361636e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs47275793	16106636	0	X	Y	0.263	-6.613716e-01	3.194527e+00	9.673843e-01	8.361636e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000403	-9	0	X	Y	0.263	-6.613716e-01	3.194527e+00	9.673843e-01	8.361636e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000044	-9	0	X	Y	0.259	3.945108e-02	3.195517e+00	9.896747e-01	9.901602e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs51394091	17255046	0	X	Y	0.259	3.945108e-02	3.195517e+00	9.896747e-01	9.901602e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs31817535	17259053	0	X	Y	0.259	3.945108e-02	3.195517e+00	9.896747e-01	9.901602e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000404	-9	0	X	Y	0.259	3.945108e-02	3.195517e+00	9.896747e-01	9.901602e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000045	-9	0	X	Y	0.259	-2.802657e-01	3.181604e+00	9.796113e-01	9.298806e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs32171777	17395985	0	X	Y	0.259	-2.802657e-01	3.181604e+00	9.796113e-01	9.298806e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000405	-9	0	X	Y	0.259	-2.802657e-01	3.181604e+00	9.796113e-01	9.298806e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000046	-9	0	X	Y	0.257	3.286831e-01	3.183755e+00	9.955824e-01	9.178625e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs32043384	18168753	0	X	Y	0.257	3.286831e-01	3.183755e+00	9.955824e-01	9.178625e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000419	-9	0	X	Y	0.257	3.286831e-01	3.183755e+00	9.955824e-01	9.178625e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000047	-9	0	X	Y	0.255	4.411414e-02	3.190336e+00	9.893277e-01	9.889794e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs219716413	18496617	0	X	Y	0.255	4.411414e-02	3.190336e+00	9.893277e-01	9.889794e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs13475747	18605609	0	X	Y	0.255	4.411414e-02	3.190336e+00	9.893277e-01	9.889794e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs51820747	18790547	0	X	Y	0.255	4.411414e-02	3.190336e+00	9.893277e-01	9.889794e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs51700370	18823698	0	X	Y	0.257	2.159050e-01	3.191103e+00	9.946424e-01	9.461151e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000433	-9	0	X	Y	0.257	2.159050e-01	3.191103e+00	9.946424e-01	9.461151e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000434	-9	0	X	Y	0.254	4.452724e-02	3.192949e+00	9.888025e-01	9.888853e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
