chr	rs	ps	n_miss	allele1	allele0	af	beta	se	l_remle	p_wald	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000009	-9	1	X	Y	0.269	-4.669589e-01	9.764122e-01	2.913058e-01	6.329243e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs6376963	5018010	0	X	Y	0.270	-4.541568e-01	9.748234e-01	2.925341e-01	6.417285e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000120	-9	0	X	Y	0.270	-4.541568e-01	9.748234e-01	2.925341e-01	6.417285e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000010	-9	0	X	Y	0.272	-8.469072e-01	9.680010e-01	2.414102e-01	3.825199e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs30847416	5025197	0	X	Y	0.272	-8.469072e-01	9.680010e-01	2.414102e-01	3.825199e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs31625087	5119671	0	X	Y	0.272	-8.469072e-01	9.680010e-01	2.414102e-01	3.825199e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs31716357	5155818	0	X	Y	0.272	-8.469072e-01	9.680010e-01	2.414102e-01	3.825199e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs3677817	5185979	0	X	Y	0.272	-8.469072e-01	9.680010e-01	2.414102e-01	3.825199e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000121	-9	1	X	Y	0.272	-8.386887e-01	9.681043e-01	2.417991e-01	3.871980e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000011	-9	1	X	Y	0.270	-7.960549e-01	9.699019e-01	2.514782e-01	4.126159e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs47937185	5316776	0	X	Y	0.269	-8.907744e-01	9.660790e-01	2.477863e-01	3.574475e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000012	-9	0	X	Y	0.269	-8.907744e-01	9.660790e-01	2.477863e-01	3.574475e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000148	-9	0	X	Y	0.269	-8.907744e-01	9.660790e-01	2.477863e-01	3.574475e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000013	-9	0	X	Y	0.278	-8.703348e-01	9.793325e-01	2.412536e-01	3.750720e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs32140280	5641533	0	X	Y	0.278	-8.703348e-01	9.793325e-01	2.412536e-01	3.750720e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000014	-9	1	X	Y	0.280	-8.715989e-01	9.838857e-01	2.504581e-01	3.765909e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs32096391	6097778	0	X	Y	0.280	-8.720028e-01	9.837207e-01	2.494762e-01	3.762903e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000015	-9	0	X	Y	0.280	-8.720028e-01	9.837207e-01	2.494762e-01	3.762903e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000176	-9	0	X	Y	0.280	-8.720028e-01	9.837207e-01	2.494762e-01	3.762903e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000016	-9	0	X	Y	0.282	-7.003487e-01	9.884887e-01	2.712110e-01	4.793342e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs47493511	6357478	0	X	Y	0.282	-7.003487e-01	9.884887e-01	2.712110e-01	4.793342e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000180	-9	0	X	Y	0.282	-7.003487e-01	9.884887e-01	2.712110e-01	4.793342e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000017	-9	0	X	Y	0.284	-6.901530e-01	9.924417e-01	2.811821e-01	4.874860e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs31190522	6747440	0	X	Y	0.284	-6.901530e-01	9.924417e-01	2.811821e-01	4.874860e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs6298633	6830161	0	X	Y	0.284	-6.901530e-01	9.924417e-01	2.811821e-01	4.874860e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs31362910	9843988	0	X	Y	0.284	-6.901530e-01	9.924417e-01	2.811821e-01	4.874860e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000184	-9	1	X	Y	0.285	-9.344737e-01	9.938151e-01	2.751011e-01	3.480347e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000018	-9	1	X	Y	0.285	-9.344737e-01	9.938151e-01	2.751011e-01	3.480347e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000255	-9	1	X	Y	0.285	-9.344737e-01	9.938151e-01	2.751011e-01	3.480347e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000019	-9	1	X	Y	0.282	-1.143641e+00	9.893382e-01	2.740843e-01	2.488690e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000261	-9	1	X	Y	0.282	-1.143641e+00	9.893382e-01	2.740843e-01	2.488690e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs31878990	10098253	0	X	Y	0.284	-9.449923e-01	9.909867e-01	2.794497e-01	3.412725e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000262	-9	0	X	Y	0.283	-9.734565e-01	9.858211e-01	2.726835e-01	3.244339e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000263	-9	0	X	Y	0.283	-9.734565e-01	9.858211e-01	2.726835e-01	3.244339e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000020	-9	0	X	Y	0.281	-1.153291e+00	9.870913e-01	2.802071e-01	2.438401e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs32186775	10162992	0	X	Y	0.281	-1.153291e+00	9.870913e-01	2.802071e-01	2.438401e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000265	-9	1	X	Y	0.280	-1.163404e+00	9.884062e-01	2.754990e-01	2.403660e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000021	-9	1	X	Y	0.282	-1.038072e+00	9.923085e-01	2.875258e-01	2.965814e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000271	-9	1	X	Y	0.282	-1.038072e+00	9.923085e-01	2.875258e-01	2.965814e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000022	-9	1	X	Y	0.279	-1.189674e+00	9.941456e-01	2.728131e-01	2.326372e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs31868650	10809088	0	X	Y	0.278	-1.190299e+00	9.940009e-01	2.721724e-01	2.323250e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000023	-9	2	X	Y	0.277	-1.284649e+00	9.958275e-01	2.572940e-01	1.983077e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs6360236	11083825	0	X	Y	0.274	-1.370717e+00	9.854711e-01	2.364208e-01	1.655636e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs32740138	11416077	0	X	Y	0.275	-1.329886e+00	9.854513e-01	2.440773e-01	1.784688e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs249962268_D1Mit1	11515522	0	X	Y	0.275	-1.329886e+00	9.854513e-01	2.440773e-01	1.784688e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000280	-9	0	X	Y	0.275	-1.329886e+00	9.854513e-01	2.440773e-01	1.784688e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000024	-9	0	X	Y	0.270	-1.260197e+00	9.905612e-01	2.596084e-01	2.045578e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs30991578	11793253	0	X	Y	0.271	-1.243088e+00	9.891075e-01	2.589569e-01	2.100819e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs32347261	12740981	0	X	Y	0.271	-1.243088e+00	9.891075e-01	2.589569e-01	2.100819e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000292	-9	0	X	Y	0.271	-1.243088e+00	9.891075e-01	2.589569e-01	2.100819e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000025	-9	0	X	Y	0.259	-8.957164e-01	1.003396e+00	2.830903e-01	3.729391e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000306	-9	0	X	Y	0.259	-8.957164e-01	1.003396e+00	2.830903e-01	3.729391e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000026	-9	0	X	Y	0.262	-7.089229e-01	1.007530e+00	3.006156e-01	4.823629e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs36585555	12938444	0	X	Y	0.262	-7.089229e-01	1.007530e+00	3.006156e-01	4.823629e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs30477285	12994801	0	X	Y	0.263	-6.993225e-01	1.005786e+00	3.045232e-01	4.875545e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000308	-9	0	X	Y	0.263	-6.993225e-01	1.005786e+00	3.045232e-01	4.875545e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000027	-9	0	X	Y	0.266	-7.047984e-01	1.006628e+00	3.107821e-01	4.845212e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000309	-9	0	X	Y	0.264	-8.790812e-01	1.004149e+00	2.974258e-01	3.822234e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000028	-9	0	X	Y	0.264	-8.790812e-01	1.004149e+00	2.974258e-01	3.822234e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000317	-9	0	X	Y	0.264	-8.790812e-01	1.004149e+00	2.974258e-01	3.822234e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000318	-9	0	X	Y	0.267	-6.910656e-01	1.008258e+00	3.122879e-01	4.937635e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000029	-9	0	X	Y	0.267	-6.910656e-01	1.008258e+00	3.122879e-01	4.937635e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs32223513	13055719	0	X	Y	0.267	-6.910656e-01	1.008258e+00	3.122879e-01	4.937635e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs45688852	13073341	0	X	Y	0.267	-6.910656e-01	1.008258e+00	3.122879e-01	4.937635e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000030	-9	0	X	Y	0.267	-6.910656e-01	1.008258e+00	3.122879e-01	4.937635e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000327	-9	0	X	Y	0.267	-6.910656e-01	1.008258e+00	3.122879e-01	4.937635e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000328	-9	0	X	Y	0.266	-6.985570e-01	1.008626e+00	3.071863e-01	4.892551e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000031	-9	0	X	Y	0.266	-6.985570e-01	1.008626e+00	3.071863e-01	4.892551e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs48988706	13842623	0	X	Y	0.266	-6.985570e-01	1.008626e+00	3.071863e-01	4.892551e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000329	-9	1	X	Y	0.266	-7.015474e-01	1.008705e+00	3.072167e-01	4.874334e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000032	-9	1	X	Y	0.264	-7.107438e-01	1.004967e+00	2.969286e-01	4.801236e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000330	-9	1	X	Y	0.264	-7.107438e-01	1.004967e+00	2.969286e-01	4.801236e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000033	-9	1	X	Y	0.262	-8.958826e-01	9.969601e-01	2.668134e-01	3.697779e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000034	-9	1	X	Y	0.262	-8.958826e-01	9.969601e-01	2.668134e-01	3.697779e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000339	-9	1	X	Y	0.251	-1.335250e+00	9.830827e-01	2.315453e-01	1.756940e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000340	-9	1	X	Y	0.251	-1.335250e+00	9.830827e-01	2.315453e-01	1.756940e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000035	-9	1	X	Y	0.253	-1.154881e+00	9.868696e-01	2.473446e-01	2.430871e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000343	-9	1	X	Y	0.262	-8.958826e-01	9.969601e-01	2.668134e-01	3.697779e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000036	-9	1	X	Y	0.262	-8.958826e-01	9.969601e-01	2.668134e-01	3.697779e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000344	-9	1	X	Y	0.262	-8.958826e-01	9.969601e-01	2.668134e-01	3.697779e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs31710291	13855369	0	X	Y	0.263	-9.345754e-01	9.952521e-01	2.675220e-01	3.486775e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs31794283	13860415	0	X	Y	0.263	-9.345754e-01	9.952521e-01	2.675220e-01	3.486775e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000345	-9	0	X	Y	0.263	-9.345754e-01	9.952521e-01	2.675220e-01	3.486775e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000037	-9	0	X	Y	0.265	-9.653492e-01	9.951545e-01	2.667142e-01	3.330191e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs6296049	13890559	0	X	Y	0.265	-9.653492e-01	9.951545e-01	2.667142e-01	3.330191e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs32381514	14567972	0	X	Y	0.265	-9.653492e-01	9.951545e-01	2.667142e-01	3.330191e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000346	-9	0	X	Y	0.265	-9.653492e-01	9.951545e-01	2.667142e-01	3.330191e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000038	-9	0	X	Y	0.262	-6.478852e-01	9.980803e-01	2.910305e-01	5.168874e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs31577697	14576853	0	X	Y	0.262	-6.478852e-01	9.980803e-01	2.910305e-01	5.168874e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs30996958	14748117	0	X	Y	0.262	-6.478852e-01	9.980803e-01	2.910305e-01	5.168874e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000364	-9	0	X	Y	0.262	-6.478852e-01	9.980803e-01	2.910305e-01	5.168874e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000039	-9	0	X	Y	0.264	-7.907630e-01	9.950556e-01	2.776854e-01	4.275944e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs31574495	14753392	0	X	Y	0.264	-7.907630e-01	9.950556e-01	2.776854e-01	4.275944e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs6291839	14797138	0	X	Y	0.266	-9.139998e-01	9.987148e-01	3.005569e-01	3.610373e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs32105394	14909034	0	X	Y	0.266	-9.139998e-01	9.987148e-01	3.005569e-01	3.610373e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000366	-9	0	X	Y	0.266	-9.139998e-01	9.987148e-01	3.005569e-01	3.610373e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000368	-9	0	X	Y	0.268	-7.569955e-01	9.970143e-01	2.916201e-01	4.484566e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs3088964	15206803	0	X	Y	0.268	-7.569955e-01	9.970143e-01	2.916201e-01	4.484566e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000370	-9	0	X	Y	0.268	-7.569955e-01	9.970143e-01	2.916201e-01	4.484566e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000040	-9	0	X	Y	0.271	-8.734953e-01	9.988706e-01	2.835741e-01	3.827481e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs3678179	15508184	0	X	Y	0.271	-8.734953e-01	9.988706e-01	2.835741e-01	3.827481e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs32109300	15817404	0	X	Y	0.271	-8.734953e-01	9.988706e-01	2.835741e-01	3.827481e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000041	-9	0	X	Y	0.271	-8.734953e-01	9.988706e-01	2.835741e-01	3.827481e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000387	-9	0	X	Y	0.271	-8.734953e-01	9.988706e-01	2.835741e-01	3.827481e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000042	-9	0	X	Y	0.265	-5.496388e-01	9.989607e-01	3.115055e-01	5.826975e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000043	-9	0	X	Y	0.263	-5.181774e-01	9.991671e-01	3.135221e-01	6.045212e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs32127151	15981339	0	X	Y	0.263	-5.181774e-01	9.991671e-01	3.135221e-01	6.045212e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs47275793	16106636	0	X	Y	0.263	-5.181774e-01	9.991671e-01	3.135221e-01	6.045212e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000403	-9	0	X	Y	0.263	-5.181774e-01	9.991671e-01	3.135221e-01	6.045212e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000044	-9	0	X	Y	0.259	-4.037405e-01	9.983974e-01	3.246843e-01	6.862948e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs51394091	17255046	0	X	Y	0.259	-4.037405e-01	9.983974e-01	3.246843e-01	6.862948e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs31817535	17259053	0	X	Y	0.259	-4.037405e-01	9.983974e-01	3.246843e-01	6.862948e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000404	-9	0	X	Y	0.259	-4.037405e-01	9.983974e-01	3.246843e-01	6.862948e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000045	-9	0	X	Y	0.259	-4.768636e-01	9.945343e-01	3.103236e-01	6.320400e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs32171777	17395985	0	X	Y	0.259	-4.768636e-01	9.945343e-01	3.103236e-01	6.320400e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000405	-9	0	X	Y	0.259	-4.768636e-01	9.945343e-01	3.103236e-01	6.320400e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000046	-9	0	X	Y	0.257	-3.950662e-01	9.949585e-01	3.157794e-01	6.916777e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs32043384	18168753	0	X	Y	0.257	-3.950662e-01	9.949585e-01	3.157794e-01	6.916777e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000419	-9	0	X	Y	0.257	-3.950662e-01	9.949585e-01	3.157794e-01	6.916777e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000047	-9	0	X	Y	0.255	-5.549021e-01	9.945939e-01	3.093466e-01	5.774313e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs219716413	18496617	0	X	Y	0.255	-5.549021e-01	9.945939e-01	3.093466e-01	5.774313e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs13475747	18605609	0	X	Y	0.255	-5.549021e-01	9.945939e-01	3.093466e-01	5.774313e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs51820747	18790547	0	X	Y	0.255	-5.549021e-01	9.945939e-01	3.093466e-01	5.774313e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
