chr	rs	ps	n_miss	allele1	allele0	af	beta	se	l_remle	p_wald	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000148	-9	0	X	Y	0.269	-4.308255e-01	2.377925e-01	2.634602e-01	7.129807e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000013	-9	0	X	Y	0.278	-4.086479e-01	2.411569e-01	2.539922e-01	9.148908e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs32140280	5641533	0	X	Y	0.278	-4.086479e-01	2.411569e-01	2.539922e-01	9.148908e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000014	-9	1	X	Y	0.280	-4.121864e-01	2.423633e-01	2.659232e-01	9.032288e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs32096391	6097778	0	X	Y	0.280	-4.120737e-01	2.423118e-01	2.646080e-01	9.034232e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000015	-9	0	X	Y	0.280	-4.120737e-01	2.423118e-01	2.646080e-01	9.034232e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000176	-9	0	X	Y	0.280	-4.120737e-01	2.423118e-01	2.646080e-01	9.034232e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000016	-9	0	X	Y	0.282	-3.648662e-01	2.435610e-01	2.844121e-01	1.354627e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs47493511	6357478	0	X	Y	0.282	-3.648662e-01	2.435610e-01	2.844121e-01	1.354627e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000180	-9	0	X	Y	0.282	-3.648662e-01	2.435610e-01	2.844121e-01	1.354627e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000017	-9	0	X	Y	0.284	-3.672358e-01	2.448051e-01	3.016072e-01	1.349270e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs31190522	6747440	0	X	Y	0.284	-3.672358e-01	2.448051e-01	3.016072e-01	1.349270e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs6298633	6830161	0	X	Y	0.284	-3.672358e-01	2.448051e-01	3.016072e-01	1.349270e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs31362910	9843988	0	X	Y	0.284	-3.672358e-01	2.448051e-01	3.016072e-01	1.349270e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000184	-9	1	X	Y	0.285	-4.347262e-01	2.449306e-01	2.962927e-01	7.720959e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000018	-9	1	X	Y	0.285	-4.347262e-01	2.449306e-01	2.962927e-01	7.720959e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000255	-9	1	X	Y	0.285	-4.347262e-01	2.449306e-01	2.962927e-01	7.720959e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000019	-9	1	X	Y	0.282	-5.032447e-01	2.434689e-01	2.943647e-01	3.983174e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000261	-9	1	X	Y	0.282	-5.032447e-01	2.434689e-01	2.943647e-01	3.983174e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs31878990	10098253	0	X	Y	0.284	-4.313417e-01	2.438998e-01	2.918654e-01	7.827137e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000262	-9	0	X	Y	0.283	-4.349639e-01	2.425276e-01	2.828043e-01	7.418488e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000263	-9	0	X	Y	0.283	-4.349639e-01	2.425276e-01	2.828043e-01	7.418488e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000020	-9	0	X	Y	0.281	-4.995468e-01	2.424930e-01	2.895134e-01	4.049550e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs32186775	10162992	0	X	Y	0.281	-4.995468e-01	2.424930e-01	2.895134e-01	4.049550e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000265	-9	1	X	Y	0.280	-5.008193e-01	2.426435e-01	2.803647e-01	4.011452e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000021	-9	1	X	Y	0.282	-4.459976e-01	2.444426e-01	3.053858e-01	6.933879e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000271	-9	1	X	Y	0.282	-4.459976e-01	2.444426e-01	3.053858e-01	6.933879e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000022	-9	1	X	Y	0.279	-4.713259e-01	2.449668e-01	2.908307e-01	5.555742e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs31868650	10809088	0	X	Y	0.278	-4.711858e-01	2.449131e-01	2.897322e-01	5.557629e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000023	-9	2	X	Y	0.277	-4.959853e-01	2.452148e-01	2.725053e-01	4.424130e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs6360236	11083825	0	X	Y	0.274	-5.145721e-01	2.426046e-01	2.511119e-01	3.496671e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs32740138	11416077	0	X	Y	0.275	-5.058039e-01	2.427017e-01	2.607149e-01	3.823571e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs249962268_D1Mit1	11515522	0	X	Y	0.275	-5.058039e-01	2.427017e-01	2.607149e-01	3.823571e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000280	-9	0	X	Y	0.275	-5.058039e-01	2.427017e-01	2.607149e-01	3.823571e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000024	-9	0	X	Y	0.270	-4.481474e-01	2.466652e-01	3.255543e-01	7.051781e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs30991578	11793253	0	X	Y	0.271	-4.462853e-01	2.465069e-01	3.288022e-01	7.150517e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs32347261	12740981	0	X	Y	0.271	-4.462853e-01	2.465069e-01	3.288022e-01	7.150517e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000292	-9	0	X	Y	0.271	-4.462853e-01	2.465069e-01	3.288022e-01	7.150517e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000025	-9	0	X	Y	0.259	-4.228467e-01	2.496696e-01	3.518792e-01	9.166150e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000306	-9	0	X	Y	0.259	-4.228467e-01	2.496696e-01	3.518792e-01	9.166150e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000026	-9	0	X	Y	0.262	-3.742568e-01	2.507517e-01	3.680992e-01	1.368990e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs36585555	12938444	0	X	Y	0.262	-3.742568e-01	2.507517e-01	3.680992e-01	1.368990e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs30477285	12994801	0	X	Y	0.263	-3.738498e-01	2.505053e-01	3.768566e-01	1.369400e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000308	-9	0	X	Y	0.263	-3.738498e-01	2.505053e-01	3.768566e-01	1.369400e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000027	-9	0	X	Y	0.266	-3.079200e-01	2.520574e-01	4.039364e-01	2.230730e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000309	-9	0	X	Y	0.264	-3.579271e-01	2.515405e-01	3.929816e-01	1.560796e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000028	-9	0	X	Y	0.264	-3.579271e-01	2.515405e-01	3.929816e-01	1.560796e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000317	-9	0	X	Y	0.264	-3.579271e-01	2.515405e-01	3.929816e-01	1.560796e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000318	-9	0	X	Y	0.267	-3.665596e-01	2.529987e-01	4.204514e-01	1.487098e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000029	-9	0	X	Y	0.267	-3.665596e-01	2.529987e-01	4.204514e-01	1.487098e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs32223513	13055719	0	X	Y	0.267	-3.665596e-01	2.529987e-01	4.204514e-01	1.487098e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs45688852	13073341	0	X	Y	0.267	-3.665596e-01	2.529987e-01	4.204514e-01	1.487098e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000030	-9	0	X	Y	0.267	-3.665596e-01	2.529987e-01	4.204514e-01	1.487098e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000327	-9	0	X	Y	0.267	-3.665596e-01	2.529987e-01	4.204514e-01	1.487098e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000328	-9	0	X	Y	0.266	-3.673015e-01	2.530768e-01	4.157422e-01	1.480178e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000031	-9	0	X	Y	0.266	-3.673015e-01	2.530768e-01	4.157422e-01	1.480178e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs48988706	13842623	0	X	Y	0.266	-3.673015e-01	2.530768e-01	4.157422e-01	1.480178e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000329	-9	1	X	Y	0.266	-3.672662e-01	2.531247e-01	4.162140e-01	1.481328e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000032	-9	1	X	Y	0.264	-3.628994e-01	2.516972e-01	3.947561e-01	1.506874e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000330	-9	1	X	Y	0.264	-3.628994e-01	2.516972e-01	3.947561e-01	1.506874e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000033	-9	1	X	Y	0.262	-4.232829e-01	2.495871e-01	3.662824e-01	9.122295e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000034	-9	1	X	Y	0.262	-4.232829e-01	2.495871e-01	3.662824e-01	9.122295e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000339	-9	1	X	Y	0.251	-6.235499e-01	2.462784e-01	3.685356e-01	1.199788e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000340	-9	1	X	Y	0.251	-6.235499e-01	2.462784e-01	3.685356e-01	1.199788e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000035	-9	1	X	Y	0.253	-5.759163e-01	2.468656e-01	3.721809e-01	2.049762e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000343	-9	1	X	Y	0.262	-4.232829e-01	2.495871e-01	3.662824e-01	9.122295e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000036	-9	1	X	Y	0.262	-4.232829e-01	2.495871e-01	3.662824e-01	9.122295e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000344	-9	1	X	Y	0.262	-4.232829e-01	2.495871e-01	3.662824e-01	9.122295e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs31710291	13855369	0	X	Y	0.263	-4.202742e-01	2.495542e-01	3.735852e-01	9.349010e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs31794283	13860415	0	X	Y	0.263	-4.202742e-01	2.495542e-01	3.735852e-01	9.349010e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000345	-9	0	X	Y	0.263	-4.202742e-01	2.495542e-01	3.735852e-01	9.349010e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000037	-9	0	X	Y	0.265	-4.119262e-01	2.502760e-01	3.885051e-01	1.011236e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs6296049	13890559	0	X	Y	0.265	-4.119262e-01	2.502760e-01	3.885051e-01	1.011236e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs32381514	14567972	0	X	Y	0.265	-4.119262e-01	2.502760e-01	3.885051e-01	1.011236e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000346	-9	0	X	Y	0.265	-4.119262e-01	2.502760e-01	3.885051e-01	1.011236e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000038	-9	0	X	Y	0.262	-3.563202e-01	2.494851e-01	3.793356e-01	1.545555e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs31577697	14576853	0	X	Y	0.262	-3.563202e-01	2.494851e-01	3.793356e-01	1.545555e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs30996958	14748117	0	X	Y	0.262	-3.563202e-01	2.494851e-01	3.793356e-01	1.545555e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000364	-9	0	X	Y	0.262	-3.563202e-01	2.494851e-01	3.793356e-01	1.545555e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000039	-9	0	X	Y	0.264	-3.789142e-01	2.491547e-01	3.755035e-01	1.296546e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs31574495	14753392	0	X	Y	0.264	-3.789142e-01	2.491547e-01	3.755035e-01	1.296546e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs6291839	14797138	0	X	Y	0.266	-4.135504e-01	2.503626e-01	4.119558e-01	9.990970e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs32105394	14909034	0	X	Y	0.266	-4.135504e-01	2.503626e-01	4.119558e-01	9.990970e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000366	-9	0	X	Y	0.266	-4.135504e-01	2.503626e-01	4.119558e-01	9.990970e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000368	-9	0	X	Y	0.268	-3.481148e-01	2.499947e-01	3.987810e-01	1.650906e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs3088964	15206803	0	X	Y	0.268	-3.481148e-01	2.499947e-01	3.987810e-01	1.650906e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000370	-9	0	X	Y	0.268	-3.481148e-01	2.499947e-01	3.987810e-01	1.650906e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000040	-9	0	X	Y	0.271	-3.390193e-01	2.508674e-01	3.956863e-01	1.778705e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs3678179	15508184	0	X	Y	0.271	-3.390193e-01	2.508674e-01	3.956863e-01	1.778705e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs32109300	15817404	0	X	Y	0.271	-3.390193e-01	2.508674e-01	3.956863e-01	1.778705e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000041	-9	0	X	Y	0.271	-3.390193e-01	2.508674e-01	3.956863e-01	1.778705e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000387	-9	0	X	Y	0.271	-3.390193e-01	2.508674e-01	3.956863e-01	1.778705e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000042	-9	0	X	Y	0.265	-3.419394e-01	2.492212e-01	3.989882e-01	1.713618e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000043	-9	0	X	Y	0.263	-3.503458e-01	2.486096e-01	3.854565e-01	1.600918e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs32127151	15981339	0	X	Y	0.263	-3.503458e-01	2.486096e-01	3.854565e-01	1.600918e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs47275793	16106636	0	X	Y	0.263	-3.503458e-01	2.486096e-01	3.854565e-01	1.600918e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000403	-9	0	X	Y	0.263	-3.503458e-01	2.486096e-01	3.854565e-01	1.600918e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000044	-9	0	X	Y	0.259	-3.597589e-01	2.479744e-01	3.889946e-01	1.481716e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs51394091	17255046	0	X	Y	0.259	-3.597589e-01	2.479744e-01	3.889946e-01	1.481716e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs31817535	17259053	0	X	Y	0.259	-3.597589e-01	2.479744e-01	3.889946e-01	1.481716e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000404	-9	0	X	Y	0.259	-3.597589e-01	2.479744e-01	3.889946e-01	1.481716e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000045	-9	0	X	Y	0.259	-3.734480e-01	2.460958e-01	3.536398e-01	1.304870e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs32171777	17395985	0	X	Y	0.259	-3.734480e-01	2.460958e-01	3.536398e-01	1.304870e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000405	-9	0	X	Y	0.259	-3.734480e-01	2.460958e-01	3.536398e-01	1.304870e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000046	-9	0	X	Y	0.257	-3.800324e-01	2.449291e-01	3.302233e-01	1.221032e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs32043384	18168753	0	X	Y	0.257	-3.800324e-01	2.449291e-01	3.302233e-01	1.221032e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000419	-9	0	X	Y	0.257	-3.800324e-01	2.449291e-01	3.302233e-01	1.221032e-01	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000047	-9	0	X	Y	0.255	-4.426405e-01	2.449702e-01	3.352264e-01	7.205444e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs219716413	18496617	0	X	Y	0.255	-4.426405e-01	2.449702e-01	3.352264e-01	7.205444e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs13475747	18605609	0	X	Y	0.255	-4.426405e-01	2.449702e-01	3.352264e-01	7.205444e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs51820747	18790547	0	X	Y	0.255	-4.426405e-01	2.449702e-01	3.352264e-01	7.205444e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
