chr	rs	ps	n_miss	allele1	allele0	af	beta	se	l_remle	p_wald	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000111	-9	0	X	Y	0.267	8.116199e+00	3.438757e+00	1.000000e-05	1.908264e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000112	-9	0	X	Y	0.271	7.145659e+00	3.486895e+00	1.000000e-05	4.154433e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000008	-9	0	X	Y	0.268	7.491558e+00	3.454313e+00	1.000000e-05	3.110491e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000002	-9	0	X	Y	0.268	7.491558e+00	3.454313e+00	1.000000e-05	3.110491e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000009	-9	1	X	Y	0.269	7.548243e+00	3.463517e+00	1.000000e-05	3.029869e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs6376963	5018010	0	X	Y	0.270	7.530674e+00	3.456506e+00	1.000000e-05	3.034853e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000120	-9	0	X	Y	0.270	7.530674e+00	3.456506e+00	1.000000e-05	3.034853e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000010	-9	0	X	Y	0.272	7.047529e+00	3.463680e+00	1.000000e-05	4.300449e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs30847416	5025197	0	X	Y	0.272	7.047529e+00	3.463680e+00	1.000000e-05	4.300449e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs31625087	5119671	0	X	Y	0.272	7.047529e+00	3.463680e+00	1.000000e-05	4.300449e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs31716357	5155818	0	X	Y	0.272	7.047529e+00	3.463680e+00	1.000000e-05	4.300449e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs3677817	5185979	0	X	Y	0.272	7.047529e+00	3.463680e+00	1.000000e-05	4.300449e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000121	-9	1	X	Y	0.272	7.033401e+00	3.463869e+00	1.000000e-05	4.343157e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000011	-9	1	X	Y	0.270	7.285988e+00	3.458791e+00	1.000000e-05	3.622052e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs47937185	5316776	0	X	Y	0.269	7.419307e+00	3.447843e+00	1.000000e-05	3.242697e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000012	-9	0	X	Y	0.269	7.419307e+00	3.447843e+00	1.000000e-05	3.242697e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000148	-9	0	X	Y	0.269	7.419307e+00	3.447843e+00	1.000000e-05	3.242697e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000013	-9	0	X	Y	0.278	6.782262e+00	3.493324e+00	1.000000e-05	5.339399e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs32140280	5641533	0	X	Y	0.278	6.782262e+00	3.493324e+00	1.000000e-05	5.339399e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000014	-9	1	X	Y	0.280	6.839725e+00	3.503636e+00	1.000000e-05	5.210458e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs32096391	6097778	0	X	Y	0.280	6.837542e+00	3.503532e+00	1.000000e-05	5.217214e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000015	-9	0	X	Y	0.280	6.837542e+00	3.503532e+00	1.000000e-05	5.217214e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000176	-9	0	X	Y	0.280	6.837542e+00	3.503532e+00	1.000000e-05	5.217214e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000016	-9	0	X	Y	0.282	6.670275e+00	3.509167e+00	1.000000e-05	5.854994e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs47493511	6357478	0	X	Y	0.282	6.670275e+00	3.509167e+00	1.000000e-05	5.854994e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000180	-9	0	X	Y	0.282	6.670275e+00	3.509167e+00	1.000000e-05	5.854994e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000017	-9	0	X	Y	0.284	6.716464e+00	3.513366e+00	1.000000e-05	5.713236e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs31190522	6747440	0	X	Y	0.284	6.716464e+00	3.513366e+00	1.000000e-05	5.713236e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs6298633	6830161	0	X	Y	0.284	6.716464e+00	3.513366e+00	1.000000e-05	5.713236e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs31362910	9843988	0	X	Y	0.284	6.716464e+00	3.513366e+00	1.000000e-05	5.713236e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000184	-9	1	X	Y	0.285	7.209421e+00	3.520605e+00	1.000000e-05	4.169353e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000018	-9	1	X	Y	0.285	7.209421e+00	3.520605e+00	1.000000e-05	4.169353e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000255	-9	1	X	Y	0.285	7.209421e+00	3.520605e+00	1.000000e-05	4.169353e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000019	-9	1	X	Y	0.282	7.475769e+00	3.502392e+00	1.000000e-05	3.383925e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000261	-9	1	X	Y	0.282	7.475769e+00	3.502392e+00	1.000000e-05	3.383925e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs31878990	10098253	0	X	Y	0.284	7.147070e+00	3.509749e+00	1.000000e-05	4.283687e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000262	-9	0	X	Y	0.283	6.692411e+00	3.502526e+00	1.000000e-05	5.725514e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000263	-9	0	X	Y	0.283	6.692411e+00	3.502526e+00	1.000000e-05	5.725514e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000020	-9	0	X	Y	0.281	7.413506e+00	3.491948e+00	1.000000e-05	3.479722e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs32186775	10162992	0	X	Y	0.281	7.413506e+00	3.491948e+00	1.000000e-05	3.479722e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000265	-9	1	X	Y	0.280	7.428782e+00	3.498529e+00	1.000000e-05	3.476564e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000021	-9	1	X	Y	0.282	6.951703e+00	3.506982e+00	1.000000e-05	4.861664e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000271	-9	1	X	Y	0.282	6.951703e+00	3.506982e+00	1.000000e-05	4.861664e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000022	-9	1	X	Y	0.279	7.212637e+00	3.507149e+00	1.000000e-05	4.083366e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs31868650	10809088	0	X	Y	0.278	7.210516e+00	3.507053e+00	1.000000e-05	4.088699e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000023	-9	2	X	Y	0.277	7.174762e+00	3.521307e+00	1.000000e-05	4.271762e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs6360236	11083825	0	X	Y	0.274	6.976922e+00	3.501703e+00	1.000000e-05	4.748018e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs32740138	11416077	0	X	Y	0.275	7.358982e+00	3.491417e+00	1.000000e-05	3.611350e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs249962268_D1Mit1	11515522	0	X	Y	0.275	7.358982e+00	3.491417e+00	1.000000e-05	3.611350e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000280	-9	0	X	Y	0.275	7.358982e+00	3.491417e+00	1.000000e-05	3.611350e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000024	-9	0	X	Y	0.270	8.247395e+00	3.483763e+00	1.000000e-05	1.872564e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs30991578	11793253	0	X	Y	0.271	8.228341e+00	3.476726e+00	1.000000e-05	1.875968e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs32347261	12740981	0	X	Y	0.271	8.228341e+00	3.476726e+00	1.000000e-05	1.875968e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000292	-9	0	X	Y	0.271	8.228341e+00	3.476726e+00	1.000000e-05	1.875968e-02	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000025	-9	0	X	Y	0.259	2.864132e+00	3.544568e+00	1.000000e-05	4.198881e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000306	-9	0	X	Y	0.259	2.864132e+00	3.544568e+00	1.000000e-05	4.198881e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000026	-9	0	X	Y	0.262	1.972609e+00	3.548636e+00	1.000000e-05	5.788230e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs36585555	12938444	0	X	Y	0.262	1.972609e+00	3.548636e+00	1.000000e-05	5.788230e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs30477285	12994801	0	X	Y	0.263	1.978399e+00	3.540726e+00	1.000000e-05	5.768608e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000308	-9	0	X	Y	0.263	1.978399e+00	3.540726e+00	1.000000e-05	5.768608e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000027	-9	0	X	Y	0.266	1.980626e+00	3.534997e+00	1.000000e-05	5.758148e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000309	-9	0	X	Y	0.264	2.161915e+00	3.532498e+00	1.000000e-05	5.411244e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000028	-9	0	X	Y	0.264	2.161915e+00	3.532498e+00	1.000000e-05	5.411244e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000317	-9	0	X	Y	0.264	2.161915e+00	3.532498e+00	1.000000e-05	5.411244e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000318	-9	0	X	Y	0.267	1.510611e+00	3.528472e+00	1.000000e-05	6.689556e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000029	-9	0	X	Y	0.267	1.510611e+00	3.528472e+00	1.000000e-05	6.689556e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs32223513	13055719	0	X	Y	0.267	1.510611e+00	3.528472e+00	1.000000e-05	6.689556e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs45688852	13073341	0	X	Y	0.267	1.510611e+00	3.528472e+00	1.000000e-05	6.689556e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000030	-9	0	X	Y	0.267	1.510611e+00	3.528472e+00	1.000000e-05	6.689556e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000327	-9	0	X	Y	0.267	1.510611e+00	3.528472e+00	1.000000e-05	6.689556e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000328	-9	0	X	Y	0.266	1.502544e+00	3.536000e+00	1.000000e-05	6.712782e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000031	-9	0	X	Y	0.266	1.502544e+00	3.536000e+00	1.000000e-05	6.712782e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs48988706	13842623	0	X	Y	0.266	1.502544e+00	3.536000e+00	1.000000e-05	6.712782e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000329	-9	1	X	Y	0.266	1.524509e+00	3.535995e+00	1.000000e-05	6.667617e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000032	-9	1	X	Y	0.264	1.490849e+00	3.534000e+00	1.000000e-05	6.735138e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000330	-9	1	X	Y	0.264	1.490849e+00	3.534000e+00	1.000000e-05	6.735138e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000033	-9	1	X	Y	0.262	1.849683e+00	3.531518e+00	1.000000e-05	6.009361e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000034	-9	1	X	Y	0.262	1.849683e+00	3.531518e+00	1.000000e-05	6.009361e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000339	-9	1	X	Y	0.251	2.791707e+00	3.524492e+00	1.000000e-05	4.291083e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000340	-9	1	X	Y	0.251	2.791707e+00	3.524492e+00	1.000000e-05	4.291083e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000035	-9	1	X	Y	0.253	1.911953e+00	3.527281e+00	1.000000e-05	5.882996e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000343	-9	1	X	Y	0.262	1.849683e+00	3.531518e+00	1.000000e-05	6.009361e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000036	-9	1	X	Y	0.262	1.849683e+00	3.531518e+00	1.000000e-05	6.009361e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000344	-9	1	X	Y	0.262	1.849683e+00	3.531518e+00	1.000000e-05	6.009361e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs31710291	13855369	0	X	Y	0.263	2.168408e+00	3.522946e+00	1.000000e-05	5.388137e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs31794283	13860415	0	X	Y	0.263	2.168408e+00	3.522946e+00	1.000000e-05	5.388137e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000345	-9	0	X	Y	0.263	2.168408e+00	3.522946e+00	1.000000e-05	5.388137e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000037	-9	0	X	Y	0.265	3.159770e+00	3.521643e+00	1.000000e-05	3.705074e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs6296049	13890559	0	X	Y	0.265	3.159770e+00	3.521643e+00	1.000000e-05	3.705074e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs32381514	14567972	0	X	Y	0.265	3.159770e+00	3.521643e+00	1.000000e-05	3.705074e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000346	-9	0	X	Y	0.265	3.159770e+00	3.521643e+00	1.000000e-05	3.705074e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000038	-9	0	X	Y	0.262	1.741055e+00	3.514572e+00	1.000000e-05	6.207936e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs31577697	14576853	0	X	Y	0.262	1.741055e+00	3.514572e+00	1.000000e-05	6.207936e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs30996958	14748117	0	X	Y	0.262	1.741055e+00	3.514572e+00	1.000000e-05	6.207936e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000364	-9	0	X	Y	0.262	1.741055e+00	3.514572e+00	1.000000e-05	6.207936e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000039	-9	0	X	Y	0.264	2.362979e+00	3.514754e+00	1.000000e-05	5.020514e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs31574495	14753392	0	X	Y	0.264	2.362979e+00	3.514754e+00	1.000000e-05	5.020514e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs6291839	14797138	0	X	Y	0.266	2.532214e+00	3.516271e+00	1.000000e-05	4.721532e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs32105394	14909034	0	X	Y	0.266	2.532214e+00	3.516271e+00	1.000000e-05	4.721532e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000366	-9	0	X	Y	0.266	2.532214e+00	3.516271e+00	1.000000e-05	4.721532e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000368	-9	0	X	Y	0.268	2.211596e+00	3.519502e+00	1.000000e-05	5.303632e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs3088964	15206803	0	X	Y	0.268	2.211596e+00	3.519502e+00	1.000000e-05	5.303632e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000370	-9	0	X	Y	0.268	2.211596e+00	3.519502e+00	1.000000e-05	5.303632e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000040	-9	0	X	Y	0.271	1.917458e+00	3.532879e+00	1.000000e-05	5.878186e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs3678179	15508184	0	X	Y	0.271	1.917458e+00	3.532879e+00	1.000000e-05	5.878186e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs32109300	15817404	0	X	Y	0.271	1.917458e+00	3.532879e+00	1.000000e-05	5.878186e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000041	-9	0	X	Y	0.271	1.917458e+00	3.532879e+00	1.000000e-05	5.878186e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000387	-9	0	X	Y	0.271	1.917458e+00	3.532879e+00	1.000000e-05	5.878186e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000042	-9	0	X	Y	0.265	1.656682e+00	3.526013e+00	1.000000e-05	6.389009e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000043	-9	0	X	Y	0.263	6.669261e-01	3.525515e+00	1.000000e-05	8.501219e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs32127151	15981339	0	X	Y	0.263	6.669261e-01	3.525515e+00	1.000000e-05	8.501219e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs47275793	16106636	0	X	Y	0.263	6.669261e-01	3.525515e+00	1.000000e-05	8.501219e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000403	-9	0	X	Y	0.263	6.669261e-01	3.525515e+00	1.000000e-05	8.501219e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000044	-9	0	X	Y	0.259	9.693535e-01	3.514400e+00	1.000000e-05	7.829262e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs51394091	17255046	0	X	Y	0.259	9.693535e-01	3.514400e+00	1.000000e-05	7.829262e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs31817535	17259053	0	X	Y	0.259	9.693535e-01	3.514400e+00	1.000000e-05	7.829262e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000404	-9	0	X	Y	0.259	9.693535e-01	3.514400e+00	1.000000e-05	7.829262e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000045	-9	0	X	Y	0.259	2.160763e+00	3.512142e+00	1.000000e-05	5.390004e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs32171777	17395985	0	X	Y	0.259	2.160763e+00	3.512142e+00	1.000000e-05	5.390004e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000405	-9	0	X	Y	0.259	2.160763e+00	3.512142e+00	1.000000e-05	5.390004e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000046	-9	0	X	Y	0.257	2.131384e+00	3.511070e+00	1.000000e-05	5.444059e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs32043384	18168753	0	X	Y	0.257	2.131384e+00	3.511070e+00	1.000000e-05	5.444059e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000419	-9	0	X	Y	0.257	2.131384e+00	3.511070e+00	1.000000e-05	5.444059e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
-9	rsm10000000047	-9	0	X	Y	0.255	2.452538e+00	3.509317e+00	1.000000e-05	4.853276e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs219716413	18496617	0	X	Y	0.255	2.452538e+00	3.509317e+00	1.000000e-05	4.853276e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs13475747	18605609	0	X	Y	0.255	2.452538e+00	3.509317e+00	1.000000e-05	4.853276e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs51820747	18790547	0	X	Y	0.255	2.452538e+00	3.509317e+00	1.000000e-05	4.853276e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
1	rs51700370	18823698	0	X	Y	0.257	2.482357e+00	3.510088e+00	1.000000e-05	4.801389e-01	0	Blood glucose level intraperitoneal glucose tolerance test area under curve AUC of 18week old females mgdl
