chr	rs	ps	n_miss	allele1	allele0	af	beta	se	l_remle	p_wald	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000306	-9	0	X	Y	0.259	2.504439e-04	2.391091e-03	4.207031e-01	9.166711e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000026	-9	0	X	Y	0.262	1.142360e-03	2.373788e-03	3.804901e-01	6.307942e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs36585555	12938444	0	X	Y	0.262	1.142360e-03	2.373788e-03	3.804901e-01	6.307942e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs30477285	12994801	0	X	Y	0.263	1.095474e-03	2.369100e-03	3.833573e-01	6.442218e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000308	-9	0	X	Y	0.263	1.095474e-03	2.369100e-03	3.833573e-01	6.442218e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000027	-9	0	X	Y	0.266	1.631042e-03	2.365772e-03	3.790720e-01	4.912309e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000309	-9	0	X	Y	0.264	1.787527e-03	2.365176e-03	3.736548e-01	4.505446e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000028	-9	0	X	Y	0.264	1.787527e-03	2.365176e-03	3.736548e-01	4.505446e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000317	-9	0	X	Y	0.264	1.787527e-03	2.365176e-03	3.736548e-01	4.505446e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000318	-9	0	X	Y	0.267	2.508209e-03	2.354619e-03	3.515943e-01	2.878655e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000029	-9	0	X	Y	0.267	2.508209e-03	2.354619e-03	3.515943e-01	2.878655e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs32223513	13055719	0	X	Y	0.267	2.508209e-03	2.354619e-03	3.515943e-01	2.878655e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs45688852	13073341	0	X	Y	0.267	2.508209e-03	2.354619e-03	3.515943e-01	2.878655e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000030	-9	0	X	Y	0.267	2.508209e-03	2.354619e-03	3.515943e-01	2.878655e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000327	-9	0	X	Y	0.267	2.508209e-03	2.354619e-03	3.515943e-01	2.878655e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000328	-9	0	X	Y	0.266	2.589315e-03	2.359209e-03	3.557949e-01	2.735308e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000031	-9	0	X	Y	0.266	2.589315e-03	2.359209e-03	3.557949e-01	2.735308e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs48988706	13842623	0	X	Y	0.266	2.589315e-03	2.359209e-03	3.557949e-01	2.735308e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000329	-9	1	X	Y	0.266	2.584155e-03	2.359598e-03	3.561297e-01	2.745645e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000032	-9	1	X	Y	0.264	2.655967e-03	2.351853e-03	3.489170e-01	2.599191e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000330	-9	1	X	Y	0.264	2.655967e-03	2.351853e-03	3.489170e-01	2.599191e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000033	-9	1	X	Y	0.262	2.449801e-03	2.355329e-03	3.633407e-01	2.993578e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000034	-9	1	X	Y	0.262	2.449801e-03	2.355329e-03	3.633407e-01	2.993578e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000339	-9	1	X	Y	0.251	9.785477e-04	2.350782e-03	3.779568e-01	6.775962e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000340	-9	1	X	Y	0.251	9.785477e-04	2.350782e-03	3.779568e-01	6.775962e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000035	-9	1	X	Y	0.253	1.831629e-03	2.334812e-03	3.445870e-01	4.335446e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000343	-9	1	X	Y	0.262	2.449801e-03	2.355329e-03	3.633407e-01	2.993578e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000036	-9	1	X	Y	0.262	2.449801e-03	2.355329e-03	3.633407e-01	2.993578e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000344	-9	1	X	Y	0.262	2.449801e-03	2.355329e-03	3.633407e-01	2.993578e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs31710291	13855369	0	X	Y	0.263	2.358753e-03	2.354011e-03	3.677980e-01	3.173672e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs31794283	13860415	0	X	Y	0.263	2.358753e-03	2.354011e-03	3.677980e-01	3.173672e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000345	-9	0	X	Y	0.263	2.358753e-03	2.354011e-03	3.677980e-01	3.173672e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000037	-9	0	X	Y	0.265	2.433814e-03	2.357811e-03	3.775316e-01	3.030235e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs6296049	13890559	0	X	Y	0.265	2.433814e-03	2.357811e-03	3.775316e-01	3.030235e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs32381514	14567972	0	X	Y	0.265	2.433814e-03	2.357811e-03	3.775316e-01	3.030235e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000346	-9	0	X	Y	0.265	2.433814e-03	2.357811e-03	3.775316e-01	3.030235e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000038	-9	0	X	Y	0.262	2.002140e-03	2.349985e-03	3.714798e-01	3.950925e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs31577697	14576853	0	X	Y	0.262	2.002140e-03	2.349985e-03	3.714798e-01	3.950925e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs30996958	14748117	0	X	Y	0.262	2.002140e-03	2.349985e-03	3.714798e-01	3.950925e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000364	-9	0	X	Y	0.262	2.002140e-03	2.349985e-03	3.714798e-01	3.950925e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000039	-9	0	X	Y	0.264	2.457474e-03	2.342092e-03	3.575461e-01	2.951342e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs31574495	14753392	0	X	Y	0.264	2.457474e-03	2.342092e-03	3.575461e-01	2.951342e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs6291839	14797138	0	X	Y	0.266	2.723118e-03	2.339244e-03	3.564817e-01	2.455633e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs32105394	14909034	0	X	Y	0.266	2.723118e-03	2.339244e-03	3.564817e-01	2.455633e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000366	-9	0	X	Y	0.266	2.723118e-03	2.339244e-03	3.564817e-01	2.455633e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000368	-9	0	X	Y	0.268	2.331736e-03	2.340471e-03	3.594703e-01	3.201446e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs3088964	15206803	0	X	Y	0.268	2.331736e-03	2.340471e-03	3.594703e-01	3.201446e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000370	-9	0	X	Y	0.268	2.331736e-03	2.340471e-03	3.594703e-01	3.201446e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000040	-9	0	X	Y	0.271	2.614526e-03	2.353683e-03	3.730979e-01	2.677797e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs3678179	15508184	0	X	Y	0.271	2.614526e-03	2.353683e-03	3.730979e-01	2.677797e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs32109300	15817404	0	X	Y	0.271	2.614526e-03	2.353683e-03	3.730979e-01	2.677797e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000041	-9	0	X	Y	0.271	2.614526e-03	2.353683e-03	3.730979e-01	2.677797e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000387	-9	0	X	Y	0.271	2.614526e-03	2.353683e-03	3.730979e-01	2.677797e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000042	-9	0	X	Y	0.265	2.549850e-03	2.332512e-03	3.586772e-01	2.754350e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000043	-9	0	X	Y	0.263	2.478814e-03	2.328555e-03	3.485883e-01	2.881817e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs32127151	15981339	0	X	Y	0.263	2.478814e-03	2.328555e-03	3.485883e-01	2.881817e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs47275793	16106636	0	X	Y	0.263	2.478814e-03	2.328555e-03	3.485883e-01	2.881817e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000403	-9	0	X	Y	0.263	2.478814e-03	2.328555e-03	3.485883e-01	2.881817e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000044	-9	0	X	Y	0.259	2.211504e-03	2.319120e-03	3.390414e-01	3.412680e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs51394091	17255046	0	X	Y	0.259	2.211504e-03	2.319120e-03	3.390414e-01	3.412680e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs31817535	17259053	0	X	Y	0.259	2.211504e-03	2.319120e-03	3.390414e-01	3.412680e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000404	-9	0	X	Y	0.259	2.211504e-03	2.319120e-03	3.390414e-01	3.412680e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000045	-9	0	X	Y	0.259	3.633043e-03	2.298343e-03	3.134594e-01	1.152864e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs32171777	17395985	0	X	Y	0.259	3.633043e-03	2.298343e-03	3.134594e-01	1.152864e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000405	-9	0	X	Y	0.259	3.633043e-03	2.298343e-03	3.134594e-01	1.152864e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000046	-9	0	X	Y	0.257	3.561083e-03	2.298406e-03	3.163175e-01	1.226382e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs32043384	18168753	0	X	Y	0.257	3.561083e-03	2.298406e-03	3.163175e-01	1.226382e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000419	-9	0	X	Y	0.257	3.561083e-03	2.298406e-03	3.163175e-01	1.226382e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000047	-9	0	X	Y	0.255	3.945087e-03	2.298290e-03	3.163967e-01	8.738250e-02	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs219716413	18496617	0	X	Y	0.255	3.945087e-03	2.298290e-03	3.163967e-01	8.738250e-02	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs13475747	18605609	0	X	Y	0.255	3.945087e-03	2.298290e-03	3.163967e-01	8.738250e-02	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs51820747	18790547	0	X	Y	0.255	3.945087e-03	2.298290e-03	3.163967e-01	8.738250e-02	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
